outcome,month,mmwr_week,age_group,vaccine_product,one_boosted_with_outcome,one_booster_population,two_boosted_with_outcome,two_booster_population,vaccinated_with_outcome,fully_vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_one_booster_ir,crude_two_booster_ir,crude_vax_ir,crude_unvax_ir,crude_irr,crude_one_booster_irr,crude_two_booster_irr,crude_one_two_booster_irr,age_adj_one_booster_ir,age_adj_two_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_one_booster_irr,age_adj_two_booster_irr,age_adj_vax_irr,age_adj_one_two_booster_irr,continuity_correction
death,MAY 2022,202219,65+,all_types,321,14965213,18,3713343,168,8782380,264,2632215,2.144974482,0.484738415,1.912921099,10.02957585,5.243068236,4.675848564,20.69069738,4.425014432,,,,,,,,,1
death,MAY 2022,202219,all_ages,Janssen,15,1696029,1,149903,21,2173400,306,8424061.05,0.88441884,0.667098057,0.96622803,3.632452308,3.759415164,4.10716297,5.445154983,1.325770373,1.03327101,0.760561857,1.244260076,4.980379192,4.820012509,6.548289458,4.002683434,1.358562752,1
death,MAY 2022,202219,all_ages,Moderna,147,13069204,9,2383106,87,9090810,306,8424061.05,1.124781586,0.3776584,0.957010431,3.632452308,3.79562457,3.229473485,9.618354321,2.978304162,0.955956428,0.22689793,0.971679366,4.980379192,5.209839115,21.94986617,5.125537671,4.213156238,1
death,MAY 2022,202219,all_ages,Pfizer,190,14361098,10,2578594,84,10626296,306,8424061.05,1.323018616,0.38780824,0.790491814,3.632452308,4.59518017,2.745579135,9.366619726,3.411527865,1.244082104,0.344911586,0.921789119,4.980379192,4.003256036,14.4395822,5.402948561,3.606959453,1
death,MAY 2022,202219,all_ages,all_types,352,29161013,20,5123169,193,21912678,306,8424061.05,1.207091125,0.390383374,0.880768658,3.632452308,4.12418434,3.00926105,9.304833528,3.092065917,1.099473089,0.298670571,0.978166156,4.980379192,4.529787259,16.6751588,5.091547239,3.681223387,1
death,MAY 2022,202220,50-64,all_types,25,14028321,1,1660816,30,13070621,52,5771938.05,0.178210921,0.0602114,0.229522377,0.90091057,3.925153539,5.055305069,14.9624669,2.959755483,,,,,,,,,1
death,MAY 2022,202220,65+,all_types,315,14534393,21,4266077,208,8698293,279,2615413,2.167273171,0.492255531,2.391273782,10.66753129,4.461024649,4.92209816,21.67071898,4.402740108,,,,,,,,,1
death,MAY 2022,202220,all_ages,Janssen,16,1682131,0,172944,25,2165581,331,8387351.05,0.951174433,0,1.154424609,3.946418816,3.418515842,4.148995893,,,1.185074053,0,1.715751644,5.367512921,4.529263725,,3.128374051,,1
death,MAY 2022,202220,all_ages,Moderna,151,12784868,13,2761449,101,9024259,331,8387351.05,1.181083762,0.47076734,1.119205466,3.946418816,3.526089655,3.341353883,8.382949456,2.508848134,1.005753869,0.343417456,1.137590498,5.367512921,5.33680564,15.62970322,4.718317293,2.928662625,1
death,MAY 2022,202220,all_ages,Pfizer,173,14061874,9,2979940,112,10557039,331,8387351.05,1.230276989,0.302019504,1.060903536,3.946418816,3.719865835,3.207748216,13.0667681,4.073501789,1.164216983,0.196120524,1.234199947,5.367512921,4.610405965,27.36844062,4.348981648,5.936232259,1
death,MAY 2022,202220,all_ages,all_types,340,28562714,22,5926893,238,21768914,331,8387351.05,1.190363073,0.371189424,1.093302128,3.946418816,3.609632429,3.315306823,10.63181912,3.206888438,1.087875623,0.257799615,1.218163606,5.367512921,4.933939882,20.82048464,4.406233197,4.219849682,1
death,MAY 2022,202221,50-64,all_types,26,13858470,0,1913943,34,13010106,58,5752066.05,0.187610898,0,0.261335303,1.008333345,3.858389323,5.374599004,,,,,,,,,,,1
death,MAY 2022,202221,65+,all_types,381,14138361,42,4777701,218,8617654,331,2599470,2.694796094,0.879083894,2.529690795,12.73336488,5.033565724,4.725168226,14.48481193,3.065459522,,,,,,,,,1
death,MAY 2022,202221,all_ages,Janssen,13,1667900,0,196370,19,2157411,389,8351536.05,0.779423227,0,0.880685229,4.65782579,5.288865577,5.975990489,,,1.017981417,0,1.293338322,6.370582472,6.258053797,,4.925689098,,1
death,MAY 2022,202221,all_ages,Moderna,173,12518005,20,3119705,103,8958550,389,8351536.05,1.382009354,0.641086257,1.149739634,4.65782579,4.051200508,3.370328701,7.265521203,2.155730745,1.169997743,0.390770569,1.173278911,6.370582472,5.444952788,16.30261586,5.429725543,2.994078461,1
death,MAY 2022,202221,all_ages,Pfizer,219,13777839,22,3362111,129,10489900,389,8351536.05,1.589509066,0.654350793,1.229754335,4.65782579,3.787606725,2.930354969,7.118239693,2.429139052,1.51685219,0.428698715,1.415245705,6.370582472,4.199870307,14.86027892,4.501396788,3.538270907,1
death,MAY 2022,202221,all_ages,all_types,407,27996831,42,6691644,252,21627760,389,8351536.05,1.45373596,0.627648452,1.165169208,4.65782579,3.997553107,3.204038365,7.421074286,2.316162742,1.334230555,0.402034471,1.298730147,6.370582472,4.774723867,15.84586134,4.905239542,3.318696909,1
death,JUN 2022,202222,50-64,all_types,41,13675703,8,2185530,20,12945113,60,5736606.05,0.299801773,0.366043934,0.154498458,1.045914596,6.769741318,3.488687166,2.857347159,0.81903221,,,,,,,,,1
death,JUN 2022,202222,65+,all_types,418,13749635,51,5282715,218,8535993,366,2587861,3.0400807,0.965412671,2.553891504,14.14295436,5.537805476,4.65216412,14.64964649,3.148996062,,,,,,,,,1
death,JUN 2022,202222,all_ages,Janssen,15,1652372,0,221252,22,2148949,426,8324467.05,0.907785898,0,1.023756264,5.117444726,4.998694421,5.637281584,,,1.160640091,0,1.517015193,7.035628979,6.061852448,,4.637810492,,1
death,JUN 2022,202222,all_ages,Moderna,214,12249212,33,3482807,92,8890458,426,8324467.05,1.747051157,0.947511591,1.034817329,5.117444726,4.945263848,2.929189969,5.400931004,1.843830909,1.518098881,0.885096595,1.060666762,7.035628979,4.634499813,7.948995641,6.633213402,1.71517876,1
death,JUN 2022,202222,all_ages,Pfizer,229,13491365,26,3749872,124,10419950,426,8324467.05,1.697381992,0.693357,1.190024904,5.117444726,4.300283723,3.01490457,7.380677957,2.448063541,1.630947243,0.488196187,1.398843453,7.035628979,4.3138299,14.41147876,5.029604252,3.340761944,1
death,JUN 2022,202222,all_ages,all_types,459,27425338,59,7468245,238,21481106,426,8324467.05,1.673634797,0.790011576,1.107950401,5.117444726,4.618839185,3.057683035,6.477683218,2.118494018,1.55302299,0.640155307,1.251821159,7.035628979,4.530279993,10.99050325,5.620314795,2.426009709,1
death,JUN 2022,202223,50-64,all_types,30,13481525,1,2469120,36,12880264,65,5718976.05,0.222526754,0.0405003,0.279497377,1.136567096,4.066467846,5.107552572,28.06320548,5.494452593,,,,,,,,,1
death,JUN 2022,202223,65+,all_types,463,13380177,67,5760258,243,8461151,364,2574111,3.460342864,1.163142345,2.871949691,14.14080434,4.923764641,4.086532721,12.15741512,2.974995174,,,,,,,,,1
death,JUN 2022,202223,all_ages,Janssen,15,1636518,0,246491,27,2140443,429,8293087.05,0.916580203,0,1.261421117,5.172983202,4.10091692,5.643786749,,,1.173351413,0,1.777824204,7.083839785,6.037270426,,3.984555823,,1
death,JUN 2022,202223,all_ages,Moderna,204,11988135,21,3832047,112,8827615,429,8293087.05,1.701682539,0.54800998,1.268745862,5.172983202,4.077241438,3.039922597,9.439578457,3.105203556,1.467541726,0.339905371,1.296979753,7.083839785,4.827010817,20.84062328,5.461796739,4.317500845,1
death,JUN 2022,202223,all_ages,Pfizer,273,13205434,47,4135624,140,10351724,429,8293087.05,2.067330767,1.136466952,1.35243173,5.172983202,3.824949597,2.502252317,4.551811379,1.819085689,1.99315173,0.78639994,1.591939169,7.083839785,3.554089575,9.007935303,4.449818136,2.534526807,1
death,JUN 2022,202223,all_ages,all_types,493,26861702,68,8229378,279,21341415,429,8293087.05,1.835326741,0.826307894,1.307317251,5.172983202,3.956945566,2.81856254,6.260357964,2.221117281,1.703288368,0.553922038,1.465112539,7.083839785,4.15891984,12.78851408,4.835014101,3.074960465,1
death,JUN 2022,202224,50-64,all_types,41,13340975,3,2677540,32,12830633,75,5703659.05,0.307323865,0.112043144,0.249403128,1.31494536,5.272369163,4.278695895,11.73606266,2.742906472,,,,,,,,,1
death,JUN 2022,202224,65+,all_types,443,13142946,66,6072070,268,8408433,391,2563334,3.370629386,1.086943991,3.187276393,15.25357211,4.785770114,4.525437347,14.03344812,3.101014784,,,,,,,,,1
death,JUN 2022,202224,all_ages,Janssen,19,1625368,2,264531,29,2134202,466,8266993.05,1.168966043,0.756055056,1.358821705,5.63687422,4.148354563,4.82210262,7.455639871,1.546138782,1.547549449,0.86633412,1.966885572,7.689545624,4.968852936,8.875958413,3.909503294,1.786319404,1
death,JUN 2022,202224,all_ages,Moderna,221,11810579,34,4073714,128,8780942,466,8266993.05,1.871203774,0.83461922,1.457702374,5.63687422,3.866958249,3.012432049,6.753827478,2.241985003,1.63840221,0.590266301,1.497123074,7.689545624,4.693319855,13.02724823,5.136214756,2.775700065,1
death,JUN 2022,202224,all_ages,Pfizer,243,13016885,33,4395535,142,10302368,466,8266993.05,1.866806075,0.750761853,1.378323896,5.63687422,4.089658633,3.019528538,7.508205432,2.486548922,1.80852978,0.530401583,1.61502381,7.689545624,4.251821402,14.49759177,4.761258364,3.409736769,1
death,JUN 2022,202224,all_ages,all_types,484,26483921,69,8749610,300,21239066,466,8266993.05,1.827523953,0.788606578,1.412491491,5.63687422,3.990731453,3.08443247,7.147891456,2.317408965,1.708275948,0.557897912,1.592990845,7.689545624,4.501348644,13.78306937,4.827112251,3.06198663,1
death,JUN 2022,202225,50-64,all_types,54,13201935,6,2888417,38,12777827,72,5689090.05,0.409030949,0.207726239,0.297390159,1.265580249,4.255622493,3.094094107,6.092539175,1.969086577,,,,,,,,,1
death,JUN 2022,202225,65+,all_types,452,12905220,67,6387159,265,8353128,388,2553191,3.502458695,1.048979679,3.172464255,15.19666958,4.790178346,4.338857615,14.48709625,3.338919489,,,,,,,,,1
death,JUN 2022,202225,all_ages,Janssen,25,1613903,4,283312,28,2127676,460,8242281.05,1.549039812,1.411871011,1.315989841,5.580979309,4.240898476,3.6028637,3.952896025,1.097153918,1.930850115,1.448017396,1.826994877,7.6367334,3.95511456,5.273923795,4.179942426,1.333444004,1
death,JUN 2022,202225,all_ages,Moderna,230,11633560,29,4317474,125,8731696,460,8242281.05,1.977038843,0.671689048,1.431566101,5.580979309,3.898513177,2.822898159,8.30887347,2.943384069,1.727743742,0.422755006,1.469959417,7.6367334,4.420061387,18.06420571,5.19520016,4.086867608,1
death,JUN 2022,202225,all_ages,Pfizer,251,12829058,40,4658402,149,10250129,460,8242281.05,1.956495948,0.85866355,1.453640242,5.580979309,3.839312608,2.852538138,6.499611294,2.27853616,1.907503879,0.668463564,1.705009963,7.6367334,4.003521819,11.42430763,4.478996349,2.853564473,1
death,JUN 2022,202225,all_ages,all_types,506,26107155,73,9275576,303,21130955,460,8242281.05,1.938165993,0.787013119,1.433915315,5.580979309,3.89212616,2.87951565,7.091342156,2.462685749,1.823758934,0.592459578,1.612257716,7.6367334,4.187359009,12.88988091,4.736670401,3.078284161,1
death,JUN 2022,202226,50-64,all_types,41,13090408,1,3063689,38,12731122,76,5675477.05,0.313206433,0.0326404,0.298481155,1.339094482,4.4863619,4.275437346,41.02569034,9.595671044,,,,,,,,,1
death,JUN 2022,202226,65+,all_types,497,12717905,98,6642380,298,8303967,477,2543694,3.907876337,1.47537479,3.588646246,18.75225558,5.225439983,4.798579577,12.71016402,2.648734655,,,,,,,,,1
death,JUN 2022,202226,all_ages,Janssen,12,1604819,2,299099,30,2121646,553,8219171.05,0.747747877,0.66867492,1.413996491,6.728172423,4.758266703,8.997915783,10.06194822,1.118253211,0.979518064,0.770862501,2.054831306,9.302715529,9.497237332,12.06793107,4.52724051,1.270678056,1
death,JUN 2022,202226,all_ages,Moderna,254,11493776,39,4515757,154,8688205,553,8219171.05,2.209891684,0.863642574,1.772518029,6.728172423,3.795827356,3.044571131,7.790459415,2.558803549,1.91626382,0.546572479,1.82194604,9.302715529,4.854611057,17.02009501,5.105922636,3.505964703,1
death,JUN 2022,202226,all_ages,Pfizer,272,12679503,58,4874334,152,10203849,553,8219171.05,2.145194492,1.189906149,1.489633961,6.728172423,4.516661543,3.136392736,5.654372345,1.802826629,2.093620692,0.83617557,1.754068512,9.302715529,4.443362431,11.12531371,5.303507513,2.503805144,1
death,JUN 2022,202226,all_ages,all_types,538,25808313,99,9706069,336,21035089,553,8219171.05,2.08459964,1.019980385,1.597331012,6.728172423,4.212134099,3.227560963,6.596374322,2.043764439,1.957169223,0.692451091,1.803183708,9.302715529,4.753148281,13.43447307,5.159050342,2.826436769,1
death,JUL 2022,202227,50-64,all_types,42,12998362,3,3214300,54,12688129,90,5662756.05,0.323117636,0.093332919,0.425594664,1.589332106,3.734379775,4.918741442,17.02863396,3.461990057,,,,,,,,,1
death,JUL 2022,202227,65+,all_types,505,12562977,103,6857139,298,8260183,492,2535438,4.019747867,1.502084178,3.607668256,19.40493122,5.378801442,4.827400091,12.91867094,2.67611358,,,,,,,,,1
death,JUL 2022,202227,all_ages,Janssen,21,1597345,4,312742,33,2116089,582,8198194.05,1.31468155,1.279009535,1.559480721,7.099124471,4.552236122,5.399881418,5.550485963,1.027890343,1.647817654,1.477091736,2.170491402,9.73700152,5.909028524,6.592008665,4.48608159,1.115582475,1
death,JUL 2022,202227,all_ages,Moderna,261,11378625,50,4683048,166,8649101,582,8198194.05,2.293774511,1.067680707,1.919274616,7.099124471,3.698858106,3.094953072,6.649108131,2.148371228,2.020045816,0.734240139,1.968851908,9.73700152,4.820188455,13.26133101,4.945522554,2.751205919,1
death,JUL 2022,202227,all_ages,Pfizer,263,12555490,52,5058357,153,10161801,582,8198194.05,2.094701202,1.02800178,1.505638617,7.099124471,4.7150255,3.389086932,6.905751147,2.037643556,2.044450445,0.727821844,1.761243694,9.73700152,4.762649808,13.37827602,5.528480557,2.808998469,1
death,JUL 2022,202227,all_ages,all_types,547,25561339,106,10071439,352,20948312,582,8198194.05,2.139950493,1.05248118,1.680326319,7.099124471,4.224848703,3.317424629,6.745131987,2.033243477,2.013710294,0.737601993,1.88086336,9.73700152,4.835353698,13.2008883,5.17687873,2.730077079,1
death,JUL 2022,202228,50-64,all_types,62,12919864,11,3347698,50,12647150,93,5645251.05,0.479881212,0.328584,0.395345987,1.647402377,4.166988995,3.43293785,5.013641494,1.460452159,,,,,,,,,1
death,JUL 2022,202228,65+,all_types,582,12436089,115,7038192,340,8220228,518,2522688,4.67992791,1.633942353,4.136138316,20.53365299,4.964450273,4.387600277,12.56693845,2.864194015,,,,,,,,,1
death,JUL 2022,202228,all_ages,Janssen,18,1591331,1,324731,23,2110715,611,8167939.05,1.131128596,0.307947193,1.089678142,7.480467181,6.864840994,6.6132774,24.29139588,3.673125201,1.433022627,0.276299763,1.512774606,10.28471654,7.17693939,37.22303785,6.798578251,5.186477943,1
death,JUL 2022,202228,all_ages,Moderna,306,11282653,61,4827461,192,8611845,611,8167939.05,2.712128078,1.263604201,2.229487409,7.480467181,3.355240828,2.758154101,5.919944849,2.146343037,2.405902699,1.017946045,2.292331768,10.28471654,4.274784903,10.10340045,4.486574186,2.363487446,1
death,JUL 2022,202228,all_ages,Pfizer,319,12452352,64,5216090,173,10123542,611,8167939.05,2.561765038,1.226972694,1.708888055,7.480467181,4.377388652,2.920044215,6.096685947,2.087874531,2.50844157,0.885745547,2.014210775,10.28471654,4.100042297,11.61136691,5.106077608,2.832011493,1
death,JUL 2022,202228,all_ages,all_types,644,25355953,126,10385890,390,20867378,611,8167939.05,2.539837489,1.213184426,1.868945873,7.480467181,4.002506059,2.945254259,6.165976928,2.093529586,2.40070306,0.92556804,2.10613545,10.28471654,4.284043581,11.11178875,4.883217048,2.593761838,1
death,JUL 2022,202229,50-64,all_types,43,12853731,4,3464475,54,12609197,104,5627307.05,0.334533218,0.115457609,0.428258834,1.848130892,4.315453056,5.524506359,16.00700818,2.89745493,,,,,,,,,1
death,JUL 2022,202229,65+,all_types,589,12333797,137,7188226,315,8184155,528,2509757,4.775496143,1.905894445,3.848900711,21.03789331,5.465948563,4.405383793,11.03833078,2.50564566,,,,,,,,,1
death,JUL 2022,202229,all_ages,Janssen,19,1586121,2,334929,33,2106287,632,8137064.05,1.197890955,0.597141484,1.566738056,7.766929154,4.957388457,6.483836546,13.00684907,2.006042099,1.625359712,0.69336545,2.107053961,10.62425115,6.536553768,15.32272938,5.042230216,2.344160229,1
death,JUL 2022,202229,all_ages,Moderna,296,11203596,60,4950328,162,8577684,632,8137064.05,2.642008869,1.212040899,1.888621684,7.766929154,4.112485428,2.939781635,6.408141144,2.179801747,2.32970827,0.802150423,1.945658609,10.62425115,4.560335424,13.24471178,5.460490913,2.90432842,1
death,JUL 2022,202229,all_ages,Pfizer,315,12368382,78,5349592,174,10088159,632,8137064.05,2.546816552,1.458055119,1.724794385,7.766929154,4.503104382,3.049661801,5.326910522,1.746721725,2.494167195,1.065751235,2.010083434,10.62425115,4.259638717,9.968790839,5.285477693,2.340290222,1
death,JUL 2022,202229,all_ages,all_types,632,25187528,141,10652701,369,20793352,632,8137064.05,2.509178352,1.323607975,1.774605653,7.766929154,4.376707097,3.095407366,5.867998154,1.895711116,2.365534116,0.934284265,1.992632786,10.62425115,4.491269469,11.37154028,5.331765705,2.531921177,1
death,JUL 2022,202230,50-64,all_types,51,12748058,6,3646337,32,12550370,89,5612165.05,0.400060935,0.164548696,0.254972563,1.585840744,6.219652532,3.963997997,9.637516303,2.431261648,,,,,,,,,1
death,JUL 2022,202230,65+,all_types,570,12170016,126,7428816,273,8125089,494,2499098,4.683642158,1.696098005,3.359963195,19.76713198,5.883139437,4.220461623,11.65447511,2.761421889,,,,,,,,,1
death,JUL 2022,202230,all_ages,Janssen,26,1576998,1,351437,29,2099508,583,8111263.05,1.648702154,0.284546021,1.381275994,7.187536595,5.203548476,4.359511859,25.25966298,5.79414939,2.067234562,0.331737596,2.006746187,9.900753399,4.789371067,29.84513515,4.93373475,6.231535358,1
death,JUL 2022,202230,all_ages,Moderna,283,11077811,58,5145790,147,8522849,583,8111263.05,2.554656331,1.127134998,1.724775366,7.187536595,4.167230549,2.813504309,6.376819644,2.26650431,2.254376166,0.750143042,1.778648744,9.900753399,4.391792971,13.19848728,5.566446683,3.005261716,1
death,JUL 2022,202230,all_ages,Pfizer,312,12234155,73,5559668,128,10031962,583,8111263.05,2.55023743,1.313028044,1.275921898,7.187536595,5.633210468,2.818379384,5.474016055,1.942256634,2.505240397,0.998219139,1.519473204,9.900753399,3.952017303,9.918416716,6.515911811,2.50970984,1
death,JUL 2022,202230,all_ages,all_types,621,24918074,132,11075153,305,20675459,583,8111263.05,2.492166931,1.191857124,1.475178858,7.187536595,4.87231535,2.884051026,6.030535415,2.090994701,2.359085916,0.864977426,1.674988642,9.900753399,4.196860035,11.4462564,5.910937632,2.727338129,1
death,AUG 2022,202231,50-64,all_types,36,12612282,5,3870493,41,12484060,76,5598741.05,0.285436054,0.12918251,0.3284188,1.357448028,4.133283569,4.75569926,10.50798618,2.209556494,,,,,,,,,1
death,AUG 2022,202231,65+,all_types,489,11958654,114,7732749,315,8054979,479,2490275,4.089088956,1.474249326,3.91062472,19.23482346,4.91860632,4.703938621,13.04719841,2.77367531,,,,,,,,,1
death,AUG 2022,202231,all_ages,Janssen,22,1565628,2,371509,29,2091394,555,8089016.05,1.405186928,0.538344966,1.386634943,6.861155876,4.948062149,4.882735342,12.74490579,2.610197953,1.875222679,0.554347957,1.978738585,9.533369821,5.083860133,17.19744738,4.817902625,3.382753839,1
death,AUG 2022,202231,all_ages,Moderna,249,10919069,58,5386563,145,8459533,555,8089016.05,2.2804142,1.076753395,1.714042607,6.861155876,4.00290859,3.008732306,6.372077306,2.117861165,2.005741087,0.764467725,1.772064476,9.533369821,4.753041098,12.47059819,5.379809792,2.623709312,1
death,AUG 2022,202231,all_ages,Pfizer,251,12057621,59,5826314,181,9967069,555,8089016.05,2.081671003,1.012647104,1.815980204,6.861155876,3.77821072,3.295984748,6.775465853,2.055672696,2.051388161,0.729709196,2.148089178,9.533369821,4.647277391,13.06461515,4.438069853,2.811240657,1
death,AUG 2022,202231,all_ages,all_types,525,24570936,119,11603242,356,20539039,555,8089016.05,2.13667074,1.025575438,1.7332846,6.861155876,3.958470453,3.211143274,6.690054792,2.083387199,2.02497376,0.744326558,1.966681394,9.533369821,4.707897954,12.80804738,4.847439881,2.720544818,1
death,AUG 2022,202232,50-64,all_types,50,12506905,8,4042114,36,12434337,81,5587091.05,0.399779162,0.197916239,0.289520865,1.449770538,5.007482069,3.626428479,7.325172238,2.019941184,,,,,,,,,1
death,AUG 2022,202232,65+,all_types,428,11784240,103,7976140,231,8004045,456,2482518,3.631969478,1.291351456,2.886040746,18.36844688,6.364583349,5.057434262,14.22420426,2.812533692,,,,,,,,,1
death,AUG 2022,202232,all_ages,Janssen,20,1556028,3,388008,24,2085051,537,8069609.05,1.285323914,0.773179934,1.151050981,6.654597474,5.781322966,5.177369999,8.606790189,1.662386538,1.539543775,0.831627535,1.687504861,9.187247164,5.967512788,11.04730998,5.444278932,1.851241945,1
death,AUG 2022,202232,all_ages,Moderna,236,10788355,50,5578407,113,8412974,537,8069609.05,2.187543884,0.896313231,1.343163547,6.654597474,4.954420843,3.042040675,7.424410626,2.440602023,1.966165267,0.625336786,1.388358901,9.187247164,4.672672903,14.69167874,6.61734308,3.144170166,1
death,AUG 2022,202232,all_ages,Pfizer,221,11918598,58,6032447,130,9919383,537,8069609.05,1.854244937,0.961467212,1.310565385,6.654597474,5.077653927,3.588844893,6.921294236,1.928557639,1.832476462,0.749979965,1.536693109,9.187247164,5.013568989,12.24999012,5.978582911,2.44336722,1
death,AUG 2022,202232,all_ages,all_types,478,24291145,111,12018254,267,20438382,537,8069609.05,1.96779526,0.923595058,1.306365641,6.654597474,5.093977724,3.381752974,7.205102947,2.130582276,1.877967912,0.697980739,1.476996261,9.187247164,4.892121483,13.16260843,6.220223712,2.690572684,1
death,AUG 2022,202233,50-64,all_types,25,12438146,6,4160026,25,12398240,55,5577011.05,0.200994586,0.144229868,0.201641523,0.98619134,4.890814767,4.906556748,6.837636025,1.393571169,,,,,,,,,1
death,AUG 2022,202233,65+,all_types,391,11674261,102,8133519,216,7969416,382,2475943,3.349248402,1.254069733,2.710361713,15.42846503,5.692400745,4.606545464,12.30271701,2.670703482,,,,,,,,,1
death,AUG 2022,202233,all_ages,Janssen,15,1549725,5,399741,17,2080140,437,8052954.05,0.967913662,1.250809899,0.817252685,5.426580076,6.640027223,5.606471205,4.338453092,0.77382955,1.247925362,1.39093511,1.242374306,7.5911262,6.082996976,5.457570338,6.110176428,0.897184457,1
death,AUG 2022,202233,all_ages,Moderna,199,10704492,52,5705033,115,8380550,437,8052954.05,1.859032638,0.911475885,1.372224973,5.426580076,3.95458484,2.919034322,5.953618925,2.039585105,1.639402294,0.655849725,1.420491479,7.5911262,4.630423068,11.57449018,5.344013895,2.499661481,1
death,AUG 2022,202233,all_ages,Pfizer,201,11830280,51,6169067,109,9886028,437,8052954.05,1.699029947,0.826705238,1.102566167,5.426580076,4.921772713,3.193928445,6.564105112,2.05518227,1.681771543,0.614678282,1.311277725,7.5911262,4.513767777,12.34975502,5.789106347,2.736019138,1
death,AUG 2022,202233,all_ages,all_types,416,24112407,108,12293545,241,20367656,437,8052954.05,1.725252896,0.87850982,1.183248578,5.426580076,4.586170798,3.14538239,6.177028367,1.963840195,1.640796366,0.651796763,1.348963184,7.5911262,4.626488915,11.64646196,5.627378339,2.517343534,1
death,AUG 2022,202234,50-64,all_types,23,12386547,5,4251763,28,12369052,45,5567785.05,0.185685325,0.117598276,0.226371431,0.808220856,3.570330642,4.352637227,6.872727064,1.578979985,,,,,,,,,1
death,AUG 2022,202234,65+,all_types,298,11592472,84,8252745,156,7941855,319,2470224,2.57063377,1.017843154,1.964276608,12.91380863,6.574333052,5.023589427,12.68742495,2.525569642,,,,,,,,,1
death,AUG 2022,202234,all_ages,Janssen,9,1544962,0,408992,18,2076168,364,8038009.05,0.5825386,0,0.866981863,4.528484575,5.223274869,7.773707318,,,0.687955487,0,1.205042015,6.34451108,9.222269756,,5.264970849,,1
death,AUG 2022,202234,all_ages,Moderna,157,10641418,45,5802388,92,8354411,364,8038009.05,1.475367287,0.775542759,1.101214676,4.528484575,4.11226319,3.069394731,5.839116569,1.902367431,1.301243994,0.566711717,1.131764144,6.34451108,4.875727467,11.19530599,5.605859766,2.296130386,1
death,AUG 2022,202234,all_ages,Pfizer,154,11764950,44,6273163,74,9859406,364,8038009.05,1.308972839,0.701400553,0.750552315,4.528484575,6.033536215,3.459571078,6.456345883,1.866227268,1.297902336,0.526042197,0.904833231,6.34451108,4.888280809,12.06084059,7.011801583,2.467297003,1
death,AUG 2022,202234,all_ages,all_types,321,23979019,89,12504508,184,20310907,364,8038009.05,1.338670277,0.711743317,0.9059172,4.528484575,4.998784188,3.382822981,6.362524899,1.880832942,1.276402026,0.529310372,1.021173602,6.34451108,4.970621286,11.9863721,6.212960331,2.411443442,1
death,AUG 2022,202235,50-64,all_types,18,12342873,1,4329807,23,12344457,58,5561003.05,0.145833146,0.0230957,0.186318442,1.04297731,5.597821109,7.151853597,45.15890456,6.314293763,,,,,,,,,1
death,AUG 2022,202235,65+,all_types,300,11525730,87,8351910,160,7918274,264,2466793,2.602872009,1.041677892,2.020642377,10.70215458,5.296412022,4.11167147,10.27395768,2.498730202,,,,,,,,,1
death,AUG 2022,202235,all_ages,Janssen,12,1540926,2,416990,18,2072640,322,8027796.05,0.778752516,0.479627809,0.868457619,4.011063535,4.618605958,5.15062674,8.362866917,1.623660059,1.061989644,0.559785369,1.130167739,5.460442178,5.141709439,9.754528226,4.831532513,1.897137196,1
death,AUG 2022,202235,all_ages,Moderna,164,10589117,43,5883855,70,8332495,322,8027796.05,1.54875992,0.730813387,0.840084513,4.011063535,4.774595264,2.589854943,5.488492147,2.119227628,1.371417027,0.498339872,0.869800492,5.460442178,3.981605939,10.95726528,6.277809945,2.751971301,1
death,AUG 2022,202235,all_ages,Pfizer,142,11711013,43,6360711,92,9836658,322,8027796.05,1.212533877,0.676025054,0.935277002,4.011063535,4.288636979,3.308001211,5.933306034,1.793622691,1.203163302,0.483568623,1.117770746,5.460442178,4.53840486,11.29196958,4.885118169,2.488092167,1
death,AUG 2022,202235,all_ages,all_types,318,23868603,88,12681717,183,20262731,322,8027796.05,1.332294144,0.693912346,0.90313591,4.011063535,4.441262373,3.010644123,5.780360525,1.919974692,1.269519207,0.488927418,1.025216137,5.460442178,4.301189102,11.16820612,5.326137565,2.596539201,1
